FECHA,MERV,BVSP,GSPC,NDX,FTSE,GDAXI,FCHI,N225,HSI,SSEC,BSESN,DEXARUS,DEXBZUS,DEXUSUK,DEXUSEU,DEXJPUS,DEXHKUS,DEXCHUS,DOLAR_BLUE
02/07/1997,824.109985,13260,904.030029,975.929993,4751.399902,3867.530029,2909.5,20196.41992,,1199.06,4333.899902,0.9998,1.0767,1.667,1.1223,114.52,7.7472,8.321,
03/07/1997,831.440002,13285,916.919983,986.52002,4831.700195,3939.72998,2937,20121.41016,15055.7002,1150.62,4323.459961,0.9994,1.0778,1.6885,1.1242,113.46,7.7445,8.3214,
04/07/1997,837.950012,13494,,,4812.799805,3946.72998,2934.5,19968,14823,1159.34,4323.819824,0.9995,,,1.123,,,,
07/07/1997,841.690002,13502,912.200012,991.039978,4810.700195,4003.350098,2947.699951,19705.16992,14858.59961,1096.82,4291.450195,0.9998,1.0779,1.687,1.1226,112.6,7.7428,8.3218,
08/07/1997,846.330017,13617,918.75,1005.809998,4758.5,4030.100098,2929.800049,19853.89063,14792.2002,1109.67,4306.390137,0.9999,1.079,1.6885,1.118,112.76,7.7436,8.3219,
09/07/1997,,,907.539978,1010.099976,4762.399902,4026.969971,2950.600098,19697.16992,14703.7002,1120.84,4404.689941,0.9999,1.0796,1.684,1.118,112.97,7.743,8.322,
10/07/1997,845.619995,13609,913.780029,1010.039978,4767.799805,4000.649902,2929.100098,19754.7793,14839.2002,1120.15,4378.370117,0.9999,1.0794,1.6881,1.1231,113.08,7.7425,8.3213,
11/07/1997,850.619995,13153,916.679993,1015.619995,4799.5,4074.300049,2941.600098,19875.49023,15225.29981,1154.79,4321.97998,0.9996,1.08,1.6935,1.1052,113.88,7.7462,8.3206,
14/07/1997,836.140015,12698,918.380005,1041.880005,4857.399902,4142.189941,,20228.7207,15370.90039,1185.72,4225.02002,0.9999,1.0801,1.6882,1.1011,113.76,7.7495,8.321,
15/07/1997,807.909973,11617,925.76001,1059.02002,4899.299805,4139.680176,2950.699951,20069.41016,15487.2002,1200.11,4221.02002,0.9998,1.0807,1.6765,1.1007,115.87,7.7485,8.3216,
16/07/1997,826.369995,12640,936.590027,1103.430054,4964.200195,4223.689941,2988,20358.74023,15446,1190.83,4183.419922,0.9999,1.0804,1.6745,1.1017,116.28,7.7498,8.3219,
17/07/1997,815.349976,11728,931.609985,1094.849976,4949,4203.910156,2958.600098,20519.25,15706.29981,1197.23,4193.609863,0.9999,1.081,1.675,1.1008,116.13,7.75,8.321,
18/07/1997,802.109985,11182,915.299988,1070.98999,4877.200195,4131.939941,2876.699951,20249.32031,15570.40039,1209.86,4124.810059,0.9996,1.0811,1.6761,1.1009,115.46,7.7515,8.3215,
21/07/1997,790.700012,11292,912.940002,1058.449951,4805.700195,4139.959961,2874.100098,,15536.29981,1193.53,4154.279785,0.9999,1.0811,1.6776,1.0995,115.88,7.747,8.3211,
22/07/1997,813.469971,12235,933.97998,1090.939941,4846.700195,4297.640137,2921.100098,20157.01953,15446.79981,1208.25,4186.290039,0.9998,1.0812,1.6744,1.0851,115.68,7.747,8.3209,
23/07/1997,821.700012,12427,936.559998,1092.060059,4874.5,4384.819824,3003.5,20130.50977,15738.79981,1198.86,4251.129883,0.9998,1.0821,1.6779,1.0853,115.85,7.747,8.3209,
24/07/1997,836.119995,12544,940.299988,1088.180054,4862.899902,4320.52002,2973.5,20286.23047,15709.2002,1174.22,4226.370117,0.9998,1.0819,1.6729,1.0809,115.95,7.7385,8.3208,
25/07/1997,841.190002,12523,938.789978,1085.390015,4851.5,4368.540039,3025.899902,20389.53906,15658.09961,1170.86,4189.810059,0.9995,1.082,1.6628,1.0766,116.75,7.7405,8.3205,
28/07/1997,852.200012,12938,936.450012,1075.180054,4862.600098,4400.299805,3022.199951,20575.25977,15666.59961,1141.78,4181.47998,0.9998,1.0823,1.6292,1.0711,117.76,7.7411,8.3003,
29/07/1997,849.02002,13044,942.289978,1087.920044,4876.600098,4377.700195,3023.600098,20402.74023,15772.09961,1153.23,4217.580078,1,1.0837,1.6275,1.0735,118,7.7438,8.2913,
30/07/1997,847.23999,13019,952.289978,1100.97998,4927.299805,4458.660156,3069.300049,20212.82031,15983.2002,1179.42,4244.890137,0.9998,1.0829,1.621,1.0737,118.33,7.745,8.2911,
31/07/1997,850.030029,12872,954.309998,1107.030029,4907.5,4405.52002,3075.699951,20331.42969,16365.7002,1189.76,4305.759766,0.9998,1.083,1.6388,1.0733,118.37,7.743,8.2913,
01/08/1997,841.080017,12259,947.140015,1108.939941,4899.299805,4336.97998,3049.5,19804.38086,16379.2002,1192.83,4347.319824,0.9995,1.083,1.6348,1.0608,118.47,7.743,8.3203,
04/08/1997,832.719971,12017,950.299988,1124.079956,4895.700195,4302.5,2992.399902,19668.07031,16259.59961,1200.33,4465.370117,0.9998,1.0832,1.6283,1.0583,118.34,7.7433,8.3205,
05/08/1997,838.710022,11909,952.369995,1136.410034,4960.600098,4325.859863,2984.100098,19514.44922,16371.5,1196.27,4548.02002,0.9998,1.0842,1.625,1.0505,119.26,7.7405,8.3203,
06/08/1997,857.440002,12523,960.320007,1141.819946,5026.200195,4364.25,3037.100098,19702.07031,16541.59961,1171.94,4523.009766,0.9998,1.0848,1.6008,1.0477,118.65,7.742,8.32,
07/08/1997,849.880005,12323,951.190002,1135.609985,5086.799805,4428.080078,3056.300049,19475.84961,16673.30078,1199.24,4447.060059,0.9998,1.0853,1.5875,1.0533,118.4,7.7415,8.3203,
08/08/1997,850.72998,12129,933.539978,1115.02002,5031.299805,4342.310059,2996.300049,19604.46094,16647.5,1206.05,4397.540039,0.9994,1.0855,1.585,1.0657,115.3,7.742,8.3197,
11/08/1997,853.289978,11949,937,1101.180054,5031.899902,4333.149902,2983.399902,18824.17969,16460.5,1184.08,4481.299805,0.9998,1.0857,1.5902,1.0567,115.85,7.743,8.3196,
